id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,activite,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_terrain_stable,cheminement_ext_plain_pied,cheminement_ext_ascenseur,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_ascenseur,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_audiodescription_presence,accueil_audiodescription,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_ascenseur,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_chambre_nombre_accessibles,accueil_chambre_douche_plain_pied,accueil_chambre_douche_siege,accueil_chambre_douche_barre_appui,accueil_chambre_sanitaires_barre_appui,accueil_chambre_sanitaires_espace_usage,accueil_chambre_numero_visible,accueil_chambre_equipement_alerte,accueil_chambre_accompagnement,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,web_url
4b4f096b-c400-4825-b824-ef5b6d1c4c8a,20000 jeux sous les livres,33370,Fargues-Saint-Hilaire,2ter,Avenue des Bons Enfants,,33165,,Librairie,,http://20000jeux.fr/,-0.447404,44.828089,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/33-fargues-saint-hilaire/a/librairie/erp/20000-jeux-sous-les-livres/
f6fc0709-ba27-40da-a6bb-ddef7bc7ffe4,20000 lieux sous la bière,13008,Marseille,2,Boulevard alexandre delabre,,13208,,"Café, bar, brasserie",,https://m.facebook.com/Le20000Lieues/,5.34588,43.21784,True,False,,True,,False,,,,,,,,,,,,,,,True,False,,False,False,3,,,,,False,,,,,False,True,battante,manuelle,True,,,,,,True,,,,,,,,,,,,,,,,False,True,True,,,,,https://acceslibre.beta.gouv.fr/app/13-marseille/a/cafeteria/erp/20000-lieux-sous-la-biere/
fafaeae6-b48f-472c-9748-2fdbd750829d,200% Feminin - Espace Beauté,75019,Paris,128,Rue de Crimée,,75119,,"Soins de beauté, esthétique",,,2.381914,48.886284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/75-paris/a/soins-de-beaute/erp/200-feminin-espace-beaute/
74d7a6d3-fc50-407b-8165-86a43b7917ef,20 167,20167,Alata,,Cardichioza,,2A006,,Restauration rapide,,https://www.facebook.com/profile.php?id=100057656641026,8.779122,41.976149,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,https://acceslibre.beta.gouv.fr/app/2a-alata/a/restauration-rapide/erp/20-167/
7298f22b-9c52-4d88-ab1f-6bee3460b70e,201 Forest Avenue,85270,Saint-Hilaire-de-Riez,201,Avenue de la Forêt,,85226,,Collège,,http://www.201forestavenue.fr/,-1.976822,46.713184,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/85-saint-hilaire-de-riez/a/college/erp/201-forest-avenue/
64ecdcc5-7f21-4100-b78d-96f9a43a73f5,203 Immobilier,79000,Niort,550bis,Avenue de Limoges,,79191,,Agence immobilière,,http://www.niort203immobilier.fr/,-0.399495,46.318179,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,True,,,,,,,,,,,,,,,,False,True,True,,,,,https://acceslibre.beta.gouv.fr/app/79-niort/a/agence-immobiliere/erp/203-immobilier/
724016d8-6f35-472d-bad2-be47e374d4d1,20ème Rue Eurl,49110,Montrevault-sur-Èvre,20,Rue du Château (Montrevault),,49218,,Coiffure,,,-1.045118,47.263464,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/49-montrevault-sur-evre/a/coiffure/erp/20eme-rue-eurl/
a146f643-5441-4089-9157-21cc9122bf37,20°Nord 20°Sud Chocolaterie Bean to Bar,85300,Challans,5,Place aristide briand,,85047,,Chocolatier,,http://www.20nord20sud.com/,-1.878657,46.847322,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/85-challans/a/chocolatier/erp/20nord-20sud-chocolaterie-bean-to-bar/
93cd9f1c-dc96-44f5-9d7d-974aa3e6396a,20°Nord 20°Sud - Manufacture Française de chocolat Bean To Bar - Vendée,85690,Notre-Dame-de-Monts,11,Route de la taillée,,85164,,Chocolatier,,https://20nord20sud.com/,-2.118028,46.833028,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/85-notre-dame-de-monts/a/chocolatier/erp/20nord-20sud-manufacture-francaise-de-chocolat-bean-to-bar-vendee/
b7ac847b-5ea0-4684-8b61-7549f16334e7,20 rue Antoine de st exupery. Pierrelatte,26700,Pierrelatte,20,Rue Antoine de Saint Exupery,,26235,,Laboratoire d'analyse médicale,,,4.699842,44.376284,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,True,,,,,,,,,,,,,,,,False,True,True,,,,,https://acceslibre.beta.gouv.fr/app/26-pierrelatte/a/laboratoire-danalyse-medicale/erp/20-rue-antoine-de-st-exupery-pierrelatte/
